ordinal,case_id,seed,source_raw_sha256,birefnet_rgba_sha256,birefnet_mask_sha256,birefnet_status,old_alpha_status,foreground_coverage,edge_contact_ratio,soft_edge_pixel_ratio,component_count,smallest_component_area,object_bbox,segmentation_confidence,postprocess_seconds,processed_dimensions,processed_alpha_coverage,visible_color_count,largest_component_only,case_specific_logic
1,B01,4041001,4e979b3a7b78a2ad701149235754f9359f0bad7e7a9e2d228fae5f94fecc54ae,8bf7b9a51a2487960531ed6b464e68efdb74791b69ac2252737763c06b06cd19,b3d984e5a93edea37413978c5bb52de0b919c0a0160c714da81ff0c46a559655,success,success,0.229553,0.015625,0.218643,1,60176,"[51, 129, 461, 314]",0.984962,0.035,96x96,0.259874,32,False,False
2,B01,4041002,624fce138360af6fc2aca7b9defc8d771c1355a6e8fc1ef432c59c156d315634,8196a3c735ff445420a6b29c1df73cab86db9d8b778c37275faaf49223c18ab7,8d650d488d46be3544368950381b3ed91d50e8642b11ff1933fa42e575f5ae7a,success,success,0.17524,0.0,0.162865,1,45938,"[37, 203, 390, 249]",0.985662,0.033,96x96,0.270833,32,False,False
3,B02,4041001,ccdb2d05d47e6c4cce851ca8c56b2efd779f447bb04b6556d1b563b8eb751684,2eb7ac6d6578e97bcec6d6b13f2cf2dc4f24ada279bf3d80876178a21e3adeac,a374bf56adae4a606273702b2794e14b71ef127c63738f475f89cf0798231b3b,success,success,0.27486,0.0,0.270679,1,72053,"[123, 55, 262, 411]",0.984364,0.035,96x96,0.356662,32,False,False
4,B02,4041002,3b45b29652521bd2b6d46b5b955569e9f7fab5f244ef2a94c950eed6b8322641,41d39047706a9fbd65656e68e6eae5aeaf59c4afb77fc7bcafbd065e3aa8d611,50b9fbca6fd5b6cbceee3678c68423fcb00d207c3f02c56baa766455ec3679fc,success,success,0.316437,0.0,0.303741,1,82952,"[118, 42, 276, 436]",0.988276,0.036,96x96,0.367947,32,False,False
5,B03,4041001,dafbaa60f137526eea7fa47087c4af5339b99d08d6cccf384d7cc58c98ce791a,39fdff30c0e6183625605b8414c05dfdfc5915f34f5dc3d30d85030b02e5c0b6,2b0dc2bbdff4ee5d1608b2a39bea4f0c569b2b1592a04c13cbe76550d846e623,success,failed:OBJECT_TOUCHES_RAW_EDGE,0.258636,0.0,0.239117,1,67800,"[43, 169, 430, 207]",0.989596,0.035,96x96,0.307617,32,False,False
6,B03,4041002,8d97a66eef4fc84e88319c1e6b1397a81e1a5c10245dd915b131bb94484f71c2,854f0d24312554107020810481c98b0d296fda01f614494249857e4ef619442e,571662409669e969fe7a9c8dfc4b6c22745e320d69f2fab1dc85ea4bad323c4b,success,failed:OBJECT_TOUCHES_RAW_EDGE,0.280449,0.0,0.263092,1,73518,"[49, 151, 423, 231]",0.990728,0.034,96x96,0.334744,32,False,False
7,B04,4041001,08cfcb3823668d8732476ed6ffb0f5b95156476a4cc642b26ff142dd661d9b26,ab7304d0cb7c69d7d4db196a5b5a8a594e456e05be798f132181446bd73f0316,cf06fac83ec082e589344497e2d3684c342c944132ffe7a73f399575b49e96bd,success,success,0.189644,0.0,0.189808,1,49714,"[151, 66, 211, 402]",0.985431,0.031,96x96,0.25727,32,False,False
8,B04,4041002,9af251d1a47725b117f1a4cc381523b3b24577218b5241da2e50a6925881d63a,797b960019096044937ac39c823c2be4a50786bb768f59e7e6f183fa3ec250b9,75398aab8a4a845064bda9a8c0e7f8bb4e974be26fddbe0d197d8094e9ece3e2,success,success,0.194912,0.0,0.18679,1,51095,"[150, 49, 199, 429]",0.988739,0.033,96x96,0.234701,32,False,False
