case_id,seed,v1_status,v1_failure_reason,v2_status,v2_failure_reason,foreground_coverage,edge_contact_ratio,background_residual_ratio,internal_hole_ratio,component_count,kept_component_count,removed_component_count,removed_area,smallest_kept_component_area,object_bbox,soft_edge_pixel_ratio,shadow_residual_score,segmentation_confidence,processed_dimensions,output_alpha_coverage,visible_color_count,postprocess_seconds,processor_sha256
B01,4041001,failed,OBJECT_TOUCHES_RAW_EDGE,success,,0.096127,0.0,4e-05,0.057382,1,1,312,44604,25199,"[105,25,241,293]",0.71498,0.041865,0.95732,"[96, 96]",0.296658,32,0.494,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B01,4041002,failed,OBJECT_TOUCHES_RAW_EDGE,success,,0.139668,0.0,0.000601,0.138963,1,1,484,62577,36613,"[159,53,238,265]",0.619168,0.01894,0.958833,"[96, 96]",0.456163,32,1.047,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B02,4041001,failed,OBJECT_TOUCHES_RAW_EDGE,success,,0.113316,0.0,0.000236,0.210435,1,1,529,32463,29705,"[146,94,224,224]",0.688966,0.055901,0.976074,"[96, 96]",0.53125,32,0.464,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B02,4041002,failed,OBJECT_TOUCHES_RAW_EDGE,success,,0.211723,0.0,1.8e-05,0.036975,1,1,520,17743,55502,"[100,47,299,357]",0.59965,0.050422,0.958781,"[96, 96]",0.377821,32,0.438,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B03,4041001,success,,success,,0.165627,0.0,0.003892,0.030199,1,1,372,16077,43418,"[50,174,416,144]",0.721094,0.047004,0.945231,"[96, 96]",0.227648,32,0.47,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B03,4041002,failed,OBJECT_TOUCHES_RAW_EDGE,success,,0.167572,0.0,0.001002,0.045458,2,2,146,18092,67,"[151,56,243,352]",0.602416,0.027866,0.970395,"[96, 96]",0.323785,32,0.441,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B04,4041001,failed,OBJECT_TOUCHES_RAW_EDGE,success,,0.118744,0.0,0.001028,0.033862,6,6,322,16177,51,"[141,61,232,438]",0.746988,0.024089,0.951632,"[96, 96]",0.185655,32,0.55,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
B04,4041002,failed,BACKGROUND_NOT_HIGH_CONTRAST_CHROMA,success,,0.091145,0.0,0.000377,0.037737,1,1,48,57201,23893,"[181,59,156,259]",0.436102,0.005705,0.952025,"[96, 96]",0.303385,32,1.15,0b348a0202877629258439dc483711e6a4b9143d58863e0cae72dfe7d0926fe7
