case_id,seed,generation_status,generation_seconds,total_wall_seconds,postprocess_seconds,peak_vram_mb,peak_ram_mb,raw_bytes,processed_sprite_bytes,retry_count
B01,4041001,success,2.527,2.644,0.088,11481.0,14183.1,212155,7399,0
B01,4041002,success,1.033,1.093,0.042,11399.0,14184.4,230790,6691,0
B02,4041001,success,2.177,2.246,0.05,11570.0,14186.6,248997,9463,0
B02,4041002,success,1.04,1.114,0.043,11449.0,14187.0,297058,9231,0
B03,4041001,raw_success_alpha_failed,2.032,2.08,0.027,11577.0,14187.0,222443,0,0
B03,4041002,raw_success_alpha_failed,1.02,1.055,0.017,11497.0,14187.0,240022,0,0
B04,4041001,success,2.036,2.105,0.047,11641.0,14188.4,198142,5226,0
B04,4041002,success,1.007,1.064,0.039,11481.0,14189.6,222220,4894,0
